Entry date,Exit date,Type,Nbr Bars,Abs Perf,Relat Perf(%),MFE,MAE
"21 Jan 2019, 05:00:00","25 Jan 2019, 17:00:00",Long,18,£12.75,0.0006,£15.00,-£358.50
"18 Feb 2019, 05:00:00","22 Feb 2019, 17:00:00",Long,18,£95.04,0.0048,£127.44,-£41.04
"19 Mar 2019, 04:00:00","25 Mar 2019, 10:00:00",Long,18,-£252.39,-1.26%,£131.13,-£310.91
"18 Apr 2019, 05:00:00","25 Apr 2019, 17:00:00",Long,18,£289.95,0.0145,£310.71,£0.00
"17 Jun 2019, 05:00:00","21 Jun 2019, 17:00:00",Long,18,£383.43,0.0192,£387.78,-£51.13
"15 Jul 2019, 05:00:00","19 Jul 2019, 17:00:00",Long,18,-£145.66,-0.73%,£7.29,-£267.45
"13 Sept 2019, 05:00:00","19 Sept 2019, 17:00:00",Long,18,£25.59,0.0013,£28.91,-£166.88
"14 Oct 2019, 05:00:00","18 Oct 2019, 17:00:00",Long,18,£47.17,0.0024,£166.88,-£159.36
"11 Nov 2019, 05:00:00","15 Nov 2019, 17:00:00",Long,18,£194.27,0.0097,£197.51,-£29.16
"11 Dec 2019, 05:00:00","17 Dec 2019, 17:00:00",Long,18,£384.65,0.0192,£402.13,£0.00
"9 Jan 2020, 05:00:00","15 Jan 2020, 17:00:00",Long,18,£197.75,0.0099,£200.82,£0.00
"10 Feb 2020, 05:00:00","14 Feb 2020, 17:00:00",Long,18,£300.86,0.0151,£354.41,£0.00
"6 Apr 2020, 05:00:00","9 Apr 2020, 17:00:00",Long,14,"£1,862.40",0.0931,"£1,862.40",£0.00
"6 May 2020, 05:00:00","12 May 2020, 17:00:00",Long,18,£408.65,0.0204,£551.95,-£194.39
"4 Jun 2020, 05:00:00","10 Jun 2020, 17:00:00",Long,18,£532.86,0.0267,£747.29,-£70.62
"6 Jul 2020, 05:00:00","10 Jul 2020, 17:00:00",Long,18,-£56.48,-0.28%,£19.94,-£285.00
"3 Aug 2020, 05:00:00","7 Aug 2020, 17:00:00",Long,18,£436.13,0.0218,£485.81,£0.00
"1 Sept 2020, 05:00:00","7 Sept 2020, 17:00:00",Long,18,-£382.47,-1.91%,£421.29,-£638.34
"30 Nov 2020, 05:00:00","4 Dec 2020, 17:00:00",Long,18,£383.58,0.0192,£386.34,-£88.76
"28 Dec 2020, 05:00:00","4 Jan 2021, 17:00:00",Long,18,-£245.33,-1.23%,£260.50,-£245.33
"27 Jan 2021, 05:00:00","2 Feb 2021, 17:00:00",Long,18,-£19.29,-0.10%,£0.00,-£729.30
"29 Mar 2021, 05:00:00","4 Apr 2021, 23:00:00",Long,18,£420.87,0.0211,£420.87,-£13.08
"26 Apr 2021, 05:00:00","30 Apr 2021, 17:00:00",Long,18,£22.37,0.0011,£140.39,-£37.04
"25 May 2021, 05:00:00","31 May 2021, 17:00:00",Long,18,-£55.19,-0.28%,£53.49,-£105.78
"23 Jun 2021, 05:00:00","29 Jun 2021, 17:00:00",Long,18,£192.89,0.0096,£195.24,-£43.15
"22 Jul 2021, 05:00:00","28 Jul 2021, 17:00:00",Long,18,£195.06,0.0098,£282.54,-£19.60
"23 Aug 2021, 05:00:00","27 Aug 2021, 17:00:00",Long,18,£219.12,0.011,£220.24,-£9.50
"19 Oct 2021, 05:00:00","25 Oct 2021, 17:00:00",Long,18,£332.42,0.0166,£333.53,£0.00
"18 Nov 2021, 05:00:00","24 Nov 2021, 17:00:00",Long,18,-£32.13,-0.16%,£120.19,-£104.81
"17 Dec 2021, 05:00:00","23 Dec 2021, 17:00:00",Long,18,£293.99,0.0147,£296.13,-£494.85
"17 Mar 2022, 04:00:00","23 Mar 2022, 16:00:00",Long,18,£656.60,0.0329,£760.43,-£1.15
"12 Jul 2022, 05:00:00","18 Jul 2022, 17:00:00",Long,18,£310.46,0.0155,£331.51,-£374.65
"10 Aug 2022, 05:00:00","16 Aug 2022, 17:00:00",Long,18,£919.37,0.046,£920.58,£0.00
"7 Nov 2022, 05:00:00","11 Nov 2022, 17:00:00",Long,18,"£1,031.73",0.0516,"£1,085.05",-£83.42
"6 Dec 2022, 05:00:00","12 Dec 2022, 17:00:00",Long,18,-£238.42,-1.19%,£0.00,-£370.11
