Entry date,Exit date,Type,Nbr Bars,Abs Perf,Relat Perf(%),MFE,MAE
13 Jan 2019,14 Jan 2019,Long,1,-£61.60,-0.31%,£0.00,-£61.60
15 Jan 2019,10 May 2019,Long,98,"£2,178.04",0.1089,"£2,850.64",£0.00
6 Jun 2019,2 Aug 2019,Long,49,£898.37,0.045,"£1,455.15",£0.00
29 Aug 2019,2 Sept 2019,Long,3,£141.93,0.0071,£259.11,£0.00
18 Oct 2019,25 Feb 2020,Long,109,"£1,609.74",0.0805,"£2,622.78",-£61.36
6 Apr 2020,7 Apr 2020,Long,1,£963.63,0.0482,£966.64,£0.00
8 Apr 2020,20 Sept 2020,Long,140,"£5,120.16",0.2562,"£7,093.70",£0.00
2 Oct 2020,28 Oct 2020,Long,22,-£69.03,-0.35%,£921.78,-£210.46
8 Nov 2020,31 Jan 2021,Long,70,£964.98,0.0482,"£1,908.88",-£49.42
3 Feb 2021,4 Mar 2021,Long,25,-£223.96,-1.12%,£641.89,-£223.96
12 Mar 2021,20 Jun 2021,Long,85,"£1,054.86",0.0528,"£1,591.17",-£243.13
22 Jun 2021,19 Sept 2021,Long,76,£911.95,0.0457,"£1,484.35",£0.00
15 Oct 2021,28 Nov 2021,Long,37,£686.88,0.0344,"£1,217.06",£0.00
8 Dec 2021,20 Dec 2021,Long,10,-£536.18,-2.68%,£104.08,-£536.18
21 Dec 2021,14 Jan 2022,Long,20,£276.40,0.0138,£895.66,£0.00
16 Jan 2022,17 Jan 2022,Long,1,-£115.00,-0.57%,£0.00,-£115.00
15 Feb 2022,16 Feb 2022,Long,1,£249.16,0.0125,£251.43,£0.00
17 Feb 2022,18 Feb 2022,Long,1,-£178.61,-0.89%,£0.00,-£178.61
20 Feb 2022,21 Feb 2022,Long,1,£180.75,0.0091,£184.20,£0.00
17 Mar 2022,12 Apr 2022,Long,22,£189.25,0.0095,"£1,256.79",£0.00
17 Apr 2022,18 Apr 2022,Long,1,-£89.80,-0.46%,£0.00,-£89.80
30 May 2022,1 Jun 2022,Long,2,-£135.37,-0.68%,£0.00,-£135.37
2 Jun 2022,5 Jun 2022,Long,2,£71.00,0.0036,£370.41,£0.00
6 Jun 2022,7 Jun 2022,Long,1,-£129.23,-0.65%,£0.00,-£129.23
8 Jun 2022,9 Jun 2022,Long,1,-£155.06,-0.78%,£0.00,-£155.06
7 Jul 2022,8 Jul 2022,Long,1,£200.04,0.01,£203.94,£0.00
10 Jul 2022,11 Jul 2022,Long,1,-£115.81,-0.58%,£0.00,-£115.81
12 Jul 2022,13 Jul 2022,Long,1,-£46.32,-0.23%,£0.00,-£46.32
14 Jul 2022,15 Jul 2022,Long,1,£33.77,0.0017,£36.40,£0.00
17 Jul 2022,18 Jul 2022,Long,1,£3.26,0.0002,£5.84,£0.00
20 Jul 2022,28 Aug 2022,Long,33,£342.54,0.0171,"£1,752.40",-£40.75
18 Oct 2022,19 Oct 2022,Long,1,£99.32,0.005,£102.00,£0.00
21 Oct 2022,23 Oct 2022,Long,1,£630.31,0.0315,£630.31,£0.00
24 Oct 2022,3 Nov 2022,Long,9,£60.91,0.003,£836.89,£0.00
4 Nov 2022,6 Nov 2022,Long,1,£90.16,0.0045,£237.09,£0.00
7 Nov 2022,10 Nov 2022,Long,3,-£42.59,-0.21%,£354.07,-£42.59
11 Nov 2022,16 Dec 2022,Long,30,-£354.21,-1.77%,£609.39,-£354.21
5 Sept 2019,2 Oct 2019,Long,23,£40.32,0.002,£508.16,£0.00
